Theme,Name,Gender,Usage,Meanings
"""strong""",ABD AL-AZIZ,m,Arabic,"Means ""servant of the powerful"" from Arabic عبد ال ('abd al) meaning ""servant of the"" combined with عزيز ('aziz) meaning ""powerful"". This was the name of the first king of modern Saudi Arabia."
"""strong""",ABD AL-QADIR,m,Arabic,"Means ""servant of the capable, powerful"" from Arabic عبد ال ('abd al) meaning ""servant of the"" combined with قادر (qadir) meaning ""capable, powerful"". This was the name of a 19th-century Algerian resistance leader."
"""strong""",ABDUL,m,"Arabic, Urdu, Punjabi, Pashto, Uzbek, Bengali, Indonesian, Malay","First part of compound Arabic names beginning with عبد ال ('Abd al) meaning ""servant of the"" (such as عبد العزيز ('Abd al-'Aziz) meaning ""servant of the powerful"")."
"""strong""",ADIR,m,Hebrew,"Means ""strong, mighty"" in Hebrew. This word is used in the Hebrew Bible to describe God."
"""strong""",ÆLFSWIÞ,f,Anglo-Saxon,"Derived from the Old English element ælf ""elf"" combined with swiþ ""strong""."
"""strong""",ALBERICH,m,"Ancient Germanic, Germanic Mythology","Derived from the Germanic elements alf ""elf"" and ric ""ruler, mighty"". Alberich was the name of the sorcerer king of the dwarfs in Germanic mythology. He also appears in the Nibelungenlied as a dwarf who guards the treasure of the Nibelungen."
"""strong""",ALDRIC,m,"French, Ancient Germanic","From a Germanic name, derived from the elements ald ""old"" and ric ""ruler, mighty"". Saint Aldric was a 9th-century bishop of Le Mans."
"""strong""",AMALRIC,m,Ancient Germanic,"Germanic name derived from the elements amal meaning ""work, labour"" and ric meaning ""ruler, mighty"". This was the name of a 6th-century king of the Visigoths, as well as two 12th-century rulers of the Latin Kingdom of Jerusalem."
"""strong""",ATHANARIC,m,Ancient Germanic,"From the Gothic name Athanareiks, derived from the Germanic element athana meaning ""year"" combined with ric meaning ""ruler, mighty"". Athanaric was a 4th-century ruler of the Visigoths."
"""strong""",AZAZIAH,m,Biblical,"Means ""YAHWEH is strong"" in Hebrew. This is the name of three minor characters in the Old Testament."
"""strong""",AZIZ,m,"Arabic, Persian, Urdu, Uzbek, Kyrgyz, Tajik","Means ""powerful, respected, beloved"", derived from Arabic عزّ ('azza) meaning ""to be powerful"" or ""to be cherished"". In Islamic tradition العزيز (al-'Aziz) is one of the 99 names of Allah. A notable bearer of the name was Al-'Aziz, a 10th-century Fatimid caliph."
"""strong""",BALDRIC,m,English (Archaic),"Derived from the Germanic elements bald ""bold, brave"" and ric ""ruler, mighty"". The Normans introduced this name to Britain, and it was common in the Middle Ages."
"""strong""",BATBAYAR,m,Mongolian,"Means ""strong joy"" in Mongolian."
"""strong""",BAT-ERDENE,m,Mongolian,"Means ""strong jewel"" in Mongolian."
"""strong""",BATU,m,Mongolian,"Means ""strong, firm"" in Mongolian. Batu Khan was a 13th-century Mongol leader, the founder of the Golden Horde."
"""strong""",BEREN,f & m,Turkish,"Means ""strong, smart"" in Turkish."
"""strong""",BERK,m,Turkish,"Means ""solid, firm, strong"" in Turkish."
"""strong""",BIDZIIL,m,"Indigenous American, Navajo","Means ""he is strong"" in Navajo."
"""strong""",BÜLENT,m,Turkish,"From Persian بلند (boland) meaning ""high, mighty""."
"""strong""",CARLISLE,m,English (Rare),"From a surname that was derived from the name of a city in northern England. The city was originally called by the Romans Luguvalium meaning ""stronghold of LUGUS"". Later the Brythonic element ker ""fort"" was appended to the name of the city."
"""strong""",CHIDIKE,m,"Western African, Igbo","Means ""God is strong"" in Igbo."
"""strong""",COMFORT,f,English (Rare),"From the English word comfort, ultimately from Latin confortare ""to strengthen greatly"", a derivative of fortis ""strong"". It was used as a given name after the Protestant Reformation."
"""strong""",CONALL,m,"Irish, Scottish, Irish Mythology","Means ""strong wolf"" in Irish. This is the name of several characters in Irish legend including the hero Conall Cernach (""Conall of the victories""), a member of the Red Branch of Ulster, who avenged Cúchulainn's death by killing Lugaid."
"""strong""",DECEBAL,m,Romanian,"Means ""powerful, brave"" in Dacian. This was the name adopted by Diurpaneus, a 1st-century king of Dacia. For many years he successfully resisted Roman expansion into his territory but was finally defeated by the forces of Emperor Trajan in 106."
"""strong""",DRUSUS,m,Ancient Roman,"Roman family name, also sometimes used as a praenomen, or given name, by the Claudia family. Apparently the name was first assumed by a Roman warrior who killed a Gallic chieftain named Drausus in single combat. Drausus possibly derives from a Celtic element meaning ""strong""."
"""strong""",ERIC,m,"English, Swedish, German, Spanish","Means ""ever ruler"", from the Old Norse name Eiríkr, derived from the elements ei ""ever, always"" and ríkr ""ruler, mighty"". A notable bearer was Eiríkr inn Rauda (Eric the Red in English), a 10th-century navigator and explorer who discovered Greenland. This was also the name of several early kings of Sweden, Denmark and Norway.... [more]"
"""strong""",ERMENRICH,m,Ancient Germanic,"From the Germanic elements ermen ""whole, universal"" and ric ""ruler, mighty"". Ermenrich (also often called Ermanaric) was a 4th-century Gothic king."
"""strong""",FREDERICK,m,English,"English form of a Germanic name meaning ""peaceful ruler"", derived from frid ""peace"" and ric ""ruler, mighty"". This name has long been common in continental Germanic-speaking regions, being borne by rulers of the Holy Roman Empire, Germany, Austria, Scandinavia, and Prussia. Notables among these rulers include the 12th-century Holy Roman emperor and crusader Frederick I Barbarossa, the 13th-century emperor and patron of the arts Frederick II, and the 18th-century Frederick II of Prussia, known as Frederick the Great.... [more]"
"""strong""",FRIDESWIDE,f,History (Ecclesiastical),"Modern form of the Old English name Friðuswiþ, formed of the elements friþ ""peace"" and swiþ ""strong"". Saint Frideswide was an 8th-century English princess who became a nun. She is credited with establishing Christ Church in Oxford."
"""strong""",GABRIEL,m,"French, Spanish, Portuguese, German, Swedish, Norwegian, Danish, Finnish, Catalan, English, Romanian, Polish, Czech, Slovak, Georgian, Biblical, Biblical Latin, Biblical Greek","From the Hebrew name גַבְרִיאֵל (Gavri'el) meaning ""God is my strong man"", derived from גֶּבֶר (gever) meaning ""strong man, hero"" and אֵל ('el) meaning ""God"". Gabriel is an archangel in Hebrew tradition, often appearing as a messenger of God. In the Old Testament he is sent to interpret the visions of the prophet Daniel, while in the New Testament he serves as the announcer of the births of John to Zechariah and Jesus to Mary. According to Islamic tradition he was the angel who dictated the Quran to Muhammad.... [more]"
"""strong""",GANG,m,Chinese,"From Chinese 刚 (gāng) meaning ""hard, rigid, strong"", as well as other characters with a similar pronunciation."
"""strong""",GODRIC,m,Anglo-Saxon,"Means ""god's ruler"", derived from Old English god combined with ric ""ruler, mighty"". This name died out a few centuries after the Norman Conquest."
"""strong""",GUMARICH,m,Ancient Germanic,"Derived from the Germanic elements guma meaning ""man"" and ric meaning ""ruler, mighty""."
"""strong""",HAMZA,m,"Arabic, Turkish, Bosnian","Possibly derived from Arabic hamuza meaning ""strong, steadfast"". This was the name of the uncle of the Prophet Muhammad who was killed in battle."
"""strong""",HEIDRICH,m,Ancient Germanic,"Derived from the Germanic elements heid ""kind, sort, type"" and ric ""ruler, mighty""."
"""strong""",HULDERIC,m,Ancient Germanic,"Derived from the Germanic elements hulda ""merciful, graceful"" and ric ""ruler, mighty"". It has long been confused with the Germanic name Ulrich."
"""strong""",IKAIKA,m,Hawaiian,"Means ""strong"" in Hawaiian."
"""strong""",IPHIGENEIA,f,Greek Mythology,"Derived from Greek ἴφιος (iphios) meaning ""strong, stout"" and γενής (genes) meaning ""born"". In Greek myth Iphigenia was the daughter of King Agamemnon. When her father offended Artemis it was divined that the only way to appease the goddess was to sacrifice Iphigenia. Just as Agamemnon was about to sacrifice his daughter she was magically transported to the city of Taurus.... [more]"
"""strong""",JABBAR,m,Arabic,"Means ""powerful"" in Arabic. In Islamic tradition الجبّار (al-Jabbar) is one of the 99 names of Allah."
"""strong""",JAREK,m,"Polish, Czech","Diminutive of Slavic names beginning with the element yaru meaning ""fierce, strong"", such as JAROSŁAW or JAROSLAV."
"""strong""",JIAN,m & f,Chinese,"From Chinese 建 (jiàn) meaning ""build, establish"", 健 (jiàn) meaning ""strong, healthy"", or other characters that are pronounced in a similar fashion."
"""strong""",K'AWIIL,m,Mayan Mythology,"Means ""powerful"" in Mayan. This is the name of the Maya god of lightning. He was sometimes depicted with one of his legs taking the form of a serpent."
"""strong""",KEN (2),m,Japanese,"From Japanese 健 (ken) meaning ""healthy, strong"" or other kanji that are pronounced the same way."
"""strong""",KEN'ICHI,m,Japanese,"From Japanese 健 (ken) meaning ""healthy, strong"" or 研 (ken) meaning ""study, sharpen"" combined with 一 (ichi) meaning ""one"". Other kanji combinations are possible."
"""strong""",KENJI,m,Japanese,"From Japanese 健 (ken) meaning ""healthy, strong"" or 研 (ken) meaning ""study, sharpen"" combined with 二 (ji) meaning ""two"". This name can also be formed from other combinations of kanji characters."
"""strong""",KENTA,m,Japanese,"From Japanese 健 (ken) meaning ""healthy, strong"" and 太 (ta) meaning ""thick, big"", as well as other kanji combinations having the same pronunciation."
"""strong""",KENTARŌ,m,Japanese,"From Japanese 健 (ken) meaning ""healthy, strong"", 太 (ta) meaning ""thick, big"" and 郎 (rō) meaning ""son"". Other combinations of kanji characters can also form this name."
"""strong""",KENZŌ,m,Japanese,"From Japanese 謙 (ken) meaning ""humble"", 健 (ken) meaning ""healthy, strong"" or 賢 (ken) meaning ""wise"" combined with 三 (zō) meaning ""three"". Other kanji combinations can also form this name."
"""strong""",KUWAT,m,Javanese,"Means ""strong"" in Javanese."
"""strong""",LEOFRIC,m,Anglo-Saxon,"Derived from the Old English element leof ""dear, agreeable, beloved"" combined with ric ""ruler, mighty""."
"""strong""",LIMBANI,m & f,"Southern African, Chewa","Means ""be strong"" in Chewa."
"""strong""",MAGNHILD,f,Norwegian,"Derived from Old Norse magn ""mighty, strong"" and hildr ""battle"". This was the name of a novel by the Norwegian author Bjørnstjerne Bjørnson."
"""strong""",MAGNI,m,"Ancient Scandinavian, Norse Mythology","Derived from the Old Norse element magn meaning ""mighty, strong"". In Norse mythology this name is borne by a son of Thor and the giant Járnsaxa."
"""strong""",MEINRAD,m,"German, Ancient Germanic","Derived from the Germanic elements magan ""mighty, strong"" and rad ""counsel"". Saint Meinrad was a 9th-century hermit who founded the Benedictine abbey at Einsiedeln in Switzerland."
"""strong""",METİN,m,Turkish,"Means ""strong"" in Turkish."
"""strong""",MILLICENT,f,English,"From the Germanic name Amalasuintha, composed of the elements amal ""work, labour"" and swinth ""strong"". Amalasuintha was a 6th-century queen of the Ostrogoths. The Normans introduced this name to England in the form Melisent or Melisende. Melisende was a 12th-century queen of Jerusalem, the daughter of Baldwin II."
"""strong""",NERO (1),m,Ancient Roman,"Roman cognomen, which was probably of Sabine origin meaning ""strong, vigorous"". It was borne most infamously by a tyrannical Roman emperor of the 1st century."
"""strong""",NGAWANG,m & f,"Tibetan, Bhutanese","Means ""powerful speech"" in Tibetan, from ངག (ngag) meaning ""speech"" and དབང (dbang) meaning ""power, force""."
"""strong""",NJORD,m,"Norse Mythology, Swedish, Norwegian, Danish","From Old Norse Njǫrðr, which was possibly derived from the Indo-European root *ner meaning ""strong, vigorous"". Njord was the Norse god of the sea, sailing, fishing and fertility. With his children Freyr and Freya he was a member of the Vanir."
"""strong""",PANCRATIUS,m,Ancient Greek (Latinized),"Latinized form of Greek Παγκράτιος (Pankratios), derived from the Greek word παγκρατής (pankrates) meaning ""all-powerful"", from the roots πᾶν (pan) meaning ""all"" and κράτος (kratos) meaning ""power"". Early Byzantine Christians used this as a title of Christ. It was borne by two saints, a 1st-century Sicilian martyr and a semi-legendary 4th-century Roman martyr."
"""strong""",PEGASUS,m,Greek Mythology (Latinized),"From the Greek Πήγασος (Pegasos), possibly either from πηγός (pegos) meaning ""strong"" or πηγαῖος (pegaios) meaning ""from a water spring"". In Greek mythology Pegasus was the winged horse that sprang from the blood of Medusa after she was killed by Perseus. There is a constellation in the northern sky named after the horse."
"""strong""",PRABHU,m,"Hinduism, Tamil, Indian, Kannada","Means ""mighty, powerful, master"" in Sanskrit. This is an epithet of both the Hindu gods Surya and Agni."
"""strong""",QADIR,m,Arabic,"Means ""capable, powerful"" in Arabic. This transcription represents two different ways of spelling the name in Arabic. In Islamic tradition القادر (al-Qadir) is one of the 99 names of Allah."
"""strong""",QIANG,m,Chinese,"From Chinese 强 (qiáng) meaning ""strong, powerful, energetic"", as well as other characters pronounced in a similar way."
"""strong""",RICHARD,m,"English, French, German, Czech, Slovak, Dutch, Ancient Germanic","Means ""brave ruler"", derived from the Germanic elements ric ""ruler, mighty"" and hard ""brave, hardy"". The Normans introduced this name to Britain, and it has been very common there since that time. It was borne by three kings of England including Richard I the Lionheart, one of the leaders of the Third Crusade in the 12th century.... [more]"
"""strong""",RICMOD,f & m,Ancient Germanic,"Derived from the Germanic element ric ""ruler, mighty"" combined with muot ""spirit, mind""."
"""strong""",RODERICK,m,"English, Scottish, Welsh","Means ""famous ruler"" from the Germanic elements hrod ""fame"" and ric ""ruler, mighty"". This name was in use among the Visigoths; it was borne by their last king (also known as Rodrigo), who died fighting the Muslim invaders of Spain in the 8th century. It also had cognates in Old Norse and West Germanic, and Scandinavian settlers and Normans introduced it to England, though it died out after the Middle Ages. It was revived in the English-speaking world by Sir Walter Scott's 1811 poem The Vision of Don Roderick."
"""strong""",SENDOA,m,Basque,"Means ""strong"" in Basque."
"""strong""",SWITHIN,m,History,"From the Old English name Swiðhun or Swiþhun, derived from swiþ ""strong"" and perhaps hun ""bear cub"". Saint Swithin was a 9th-century bishop of Winchester."
"""strong""",TAHMASP,m,Ancient Persian,"Persian form of the Avestan name Takhmaspa, which was derived from takhma ""strong, brave, valiant"" and aspa ""horse"". This name was borne by two Safavid shahs of Persia."
"""strong""",TAHMINA,f,"Persian Mythology, Tajik, Bengali","Derived from Avestan takhma meaning ""strong, brave, valiant"". This is the name of a character in the 10th-century Persian epic the Shahnameh. She is a daughter of the king of Samangan who marries the warrior hero Rostam and eventually bears him a son, whom they name Sohrab."
"""strong""",TAHMURAS,m,Persian Mythology,"Persian form of Avestan Takhma Urupi meaning ""strong body"". Takhma Urupi is a hero from the Avesta who later appears in the 10th-century Persian epic the Shahnameh."
"""strong""",TAKESHI,m,Japanese,"From Japanese 武 (takeshi) meaning ""military, martial"", 健 (takeshi) meaning ""strong, healthy"", or other kanji having the same reading."
"""strong""",UHTRIC,m,Anglo-Saxon (Hypothetical),"Derived from the Old English elements uhta ""pre-dawn"" and ric ""ruler, mighty""."
"""strong""",ULRICH,m,"German, Ancient Germanic","From the Germanic name Odalric meaning ""prosperity and power"", from the element odal ""heritage"" combined with ric ""ruler, mighty"". It has long been confused with the Germanic name Hulderic. This was the name of two German saints. Another famous bearer was Ulrich Zwingli (1484-1531), also known as Huldrych, the leader of the Protestant Reformation in Switzerland."
"""strong""",VALENTINE (1),m,English,"From the Roman cognomen Valentinus, which was itself a derivative of the cognomen Valens meaning ""strong, vigorous, healthy"" in Latin. Saint Valentine was a 3rd-century martyr. His feast day was the same as the Roman fertility festival of Lupercalia, which resulted in the association between Valentine's day and love. As an English name, it has been used occasionally since the 12th century."
"""strong""",VALERIUS,m,Ancient Roman,"Roman family name that was derived from Latin valere ""to be strong"". This was the name of several early saints."
"""strong""",VALÉRY,m,French,"Derived from the Germanic elements walha ""foreign"" and ric ""ruler, mighty"". It has been frequently confused with the name Valère."
"""strong""",WANGCHUK,m & f,"Tibetan, Bhutanese","Means ""mighty"" in Tibetan, from དབང (dbang) meaning ""power"" and ཕྱུག (phyug) meaning ""wealthy, possessing"". This is the Tibetan name for the god Shiva."
"""strong""",WILLIRIC,m,Ancient Germanic,"Germanic name derived from the elements wil ""will, desire"" and ric ""ruler, mighty""."
"""strong""",ZHIRAYR,m,Armenian,"Means ""strong, active"" in Armenian."
"""strong""",ZUBERI,m,"Eastern African, Swahili","Means ""strong"" in Swahili."
"""brave""",ABHAY,m,"Indian, Hindi, Marathi","Means ""fearless"" in Sanskrit."
"""brave""",ADALHARD,m,Ancient Germanic,"Derived from the Germanic elements adal ""noble"" and hard ""brave, hardy"". Saint Adalhard or Adalard was a cousin of Charlemagne who became an abbot of Corbie."
"""brave""",ÆLFNOÐ,m,Anglo-Saxon,"Derived from the Old English element ælf ""elf"" combined with noð ""boldness, daring""."
"""brave""",ÆTHELNOÐ,m,Anglo-Saxon,"Derived from the Old English elements æðel ""noble"" and noð ""boldness, daring""."
"""brave""",ALDHARD,m,Ancient Germanic,"Derived from the Germanic elements ald ""old"" and hard ""brave, hardy""."
"""brave""",ALFHARD,m,Ancient Germanic,"Germanic name composed of the elements alf ""elf"" and hard ""brave, hardy""."
"""brave""",ALPARSLAN,m,Turkish,"From Turkish alp meaning ""brave"" and arslan meaning ""lion"", referring to the 11th-century Seljuk sultan Alp Arslan, who expanded the Seljuk Empire into Anatolia."
