Name,Gender,Usage,Meaning
AALIYAH,f,"Arabic, English (Modern)","Feminine form of AALI. It was popularized in the English-speaking world by the singer Aaliyah Haughton (1979-2001), who was known simply as Aaliyah."
AAREN,m & f,English (Rare),Variant or feminine form of AARON.
AARON,m,"English, French, German, Jewish, Biblical, Biblical Latin, Biblical Greek","From the Hebrew name אַהֲרֹן ('Aharon), which is most likely of unknown Egyptian origin. Other theories claim a Hebrew derivation, and suggest meanings such as ""high mountain"" or ""exalted"". In the Old Testament this name is borne by the older brother of Moses. He acted as a spokesman for his brother when they appealed to the pharaoh to release the Israelites from slavery. Aaron's rod produced miracles and plagues to intimidate the pharaoh. After the departure from Egypt and arrival at Mount Sinai, God installed Aaron as the first high priest of the Israelites and promised that his descendants would form the priesthood.... [more]"
ABBEY,f,English,Diminutive of ABIGAIL.
ABBI,f,English,Diminutive of ABIGAIL.
ABBIE,f,English,Diminutive of ABIGAIL.
ABBY,f,English,Diminutive of ABIGAIL.
ABE (1),m,English,Short form of ABRAHAM.
ABEGAIL,f,English (Rare),Variant of ABIGAIL.
ABEL,m,"English, French, Spanish, Portuguese, Georgian, Biblical, Biblical Latin, Biblical Greek","From the Hebrew name הֶבֶל (Hevel) meaning ""breath"". In the Old Testament he is the second son of Adam and Eve, murdered out of envy by his brother Cain. In England, this name came into use during the Middle Ages, and it was common during the Puritan era."
ABIGAIL,f,"English, Biblical, Biblical Latin","From the Hebrew name אֲבִיגָיִל ('Avigayil) meaning ""my father is joy"", derived from the roots אָב ('av) meaning ""father"" and גִּיל (gil) meaning ""joy"". In the Old Testament this is the name of Nabal's wife. After Nabal's death she became the third wife of King David.... [more]"
ABIGAYLE,f,English (Modern),Variant of ABIGAIL.
ABILENE,f,English (Rare),"From a place name mentioned briefly in the New Testament. It is probably from Hebrew אָבֵל ('avel) meaning ""meadow, grassy area"". It has occasionally been used as a given name in modern times."
ABNER,m,"English, Biblical, Biblical Latin","Means ""my father is a light"" in Hebrew, from אָב ('av) meaning ""father"" and נֵר (ner) meaning ""lamp, light"". In the Old Testament, Abner was a cousin of Saul and the commander of his army. After he killed Asahel he was himself slain by Asahel's brother Joab. It has been used as an English Christian given name since the Protestant Reformation. It was popular with the Puritans, who brought it to America in the 17th century."
ABRAHAM,m,"English, Hebrew, Spanish, French, Dutch, German, Swedish, Norwegian, Danish, Biblical, Biblical Latin","This name may be viewed either as meaning ""father of many"" in Hebrew or else as a contraction of ABRAM (1) and הָמוֹן (hamon) meaning ""many, multitude"". The biblical patriarch Abraham was originally named Abram but God changed his name (see Genesis 17:5). With his father Terah, he led his wife Sarah, his nephew Lot and their other followers from Ur into Canaan. He is regarded by Jews as being the founder of the Hebrews through his son Isaac and by Muslims as being the founder of the Arabs through his son Ishmael.... [more]"
ABRAM (1),m,"English, Biblical","Means ""high father"" in Hebrew. In the Old Testament God changed Abram's name to Abraham (see Genesis 17:5)."
ACACIA,f,English (Rare),"From the name of a type of tree, ultimately derived from Greek ἀκή (ake) meaning ""thorn, point""."
ACE (1),m,English,"From the English word meaning ""highest rank"". More commonly a nickname, it is occasionally used as a given name."
ADA,f,"English, German, Polish, Hungarian, Italian, Finnish, Ancient Germanic","Originally a short form of Germanic names such as ADELAIDE or ADELINA that begin with the element adal meaning ""noble"". This name was borne by Augusta Ada King (1815-1852), the Countess of Lovelace (known as Ada Lovelace), a daughter of Lord Byron. She was an assistant to Charles Babbage, the inventor of an early mechanical computer."
ADAIR,m & f,English (Rare),From an English surname that was derived from the given name EDGAR.
ADALINE,f,English,Variant of ADELINA.
ADALYN,f,English (Modern),Variant of ADELINE using the popular name suffix lyn.
ADALYNN,f,English (Modern),Variant of ADELINE using the popular name suffix lynn.
ADAM,m,"English, French, German, Polish, Dutch, Swedish, Norwegian, Danish, Czech, Slovak, Russian, Ukrainian, Croatian, Serbian, Macedonian, Romanian, Catalan, Hebrew, Arabic, Georgian, Biblical, Biblical Latin, Biblical Greek, Biblical Hebrew","This is the Hebrew word for ""man"". It could be ultimately derived from Hebrew אדם ('adam) meaning ""to be red"", referring to the ruddy colour of human skin, or from Akkadian adamu meaning ""to make"".... [more]"
ADAMINA,f,English (Rare),Feminine form of ADAM.
ADDIE,f,English,"Diminutive of ADELAIDE, ADELINE, ADDISON or other names containing the same sound."
ADDILYN,f,English (Modern),Variant of ADELINE using the popular name suffix lyn.
ADDISON,f & m,English,"From an English surname meaning ""son of ADAM"". Its recent popularity as a feminine name stems from its similarity in sound to Madison."
ADDY (1),f,English,"Diminutive of ADELAIDE, ADELINE, ADDISON or other names containing the same sound."
